Label,Weight同性恋,1533
超级,26
周围,26
儿女,26
区别,26
固执,26
出去玩,26
初恋,26
女人,26
属于,25
还会,25
部分,25
实在,25
几年,25
带我去,25
优秀,25
麻烦,25
立法,25
证明,25
多数,25
无论是,25
代孕,25
结束,24
离婚,24
国内,24
ta,24
提到,24
太好了,24
方式,24
后悔,24
一对,24
这辈子,24
被迫,24
明天,24
竟然,24
为啥,24
很少,24
拒绝,24
绝对,24
里面,24
解决,24
伤心,24
基本,24
毫无,24
不必,24
平常,24
值得,24
不太,23
简单,23
txl,23
成年,23
我怕,23
允许,23
啊啊啊,23
太难,23
我能,23
在意,23
佩服,23
更好,23
毕业,23
尝试,23
宽容,23
方面,23
敏感,23
聊过,23
有病,23
同妻,23
接受度,22
早就,22
想到,22
幸运,22
随便,22
一边,22
完整,22
对错,22
基因,22
好好学习,22
年代,22
推荐,22
咋办,22
长得,22
舍友,22
普通人,22
班主任,22
处于,22
大众,22
价值,22
发表,22
争取,22
平权,22
受不了,21
男生女生,21
残酷,21
鼓励,21
地方,21
想着,21
忍住,21
到时候,21
主要,21
弟弟,21
怀疑,21
话语权,21
想起,21
相亲,21
重点,21
造成,21
指责,21
没法,21
身份,21
原来,21
三个,21
很长,21
生物,21
自杀,21
十分,21
资格,21
建立,21
刻板,21
语言,21
理想,21
寝室,21
女同性恋,21
好帅,21
自然规律,21
耐心,20
养老,20
封建,20
遇见,20
无奈,20
余生,20
不好意思,20
互相,20
合适,20
慢慢来,20
不结,20
天地,20
刻意,20
鸡皮疙瘩,20
友好,20
超过,20
女性化,20
词汇,20
早恋,20
不安,20
全程,20
管不着,20
早期,20
活动,20
指指点点,19
城市,19
圈子,19
子女,19
不分性别,19
自然,19
坚决,19
不够,19
好奇,19
做出,19
我过,19
理由,19
与众不同,19
义务,19
描述,19
文学,19
心动,19
打扮,19
后代,19
好点,19
满意,19
分类,19
班里,19
有空,19
直到现在,19
显得,19
从来不,19
DD,19
第二代,19
先说,19
中意,19
男生追,19
和解,19
墙上,19
合理,19
国际,19
不算,19
过去,18
更加,18
偏见,18
老爸,18
当成,18
回家,18
介意,18
确定,18
身体,18
姐妹,18
带来,18
小孩,18
形婚,18
彻底,18
不去,18
没想,18
依然,18
接纳,18
适合,18
学习,18
可靠,18
恋情,18
2020,18
嫁人,18
男子气,18
女票,18
长发,18
举报,18
辅导员,18
词来,18
暧昧,18
游戏,18
23,18
班长,18
压抑,18
矫情,18
申请,18
不变,18
啰嗦,18
娱乐,18
过不去,18
给钱,18
嫂嫂,18
相互,18
蕾丝,18
误解,18
不少,17
高三,17
隐瞒,17
晚上,17
主是,17
情感,17
引导,17
不可,17
一下子,17
说明,17
旁敲侧击,17
公平,17
80,17
表明,17
宣扬,17
大多,17
负责,17
状态,17
对不起,17
冷静,17
千万,17
一段,17
艰难,17
扮演,17
轻易,17
帅气,17
违反,17
背后,17
和谐,17
高知,17
地位,17
美国,17
少女,17
抬高,17
艾滋,17
总会,16
科普,16
变态,16
昨天,16
干嘛,16
高一,16
久久,16
标题,16
价值观,16
可惜,16
你好,16
生育,16
坦然,16
保守,16
意见,16
变得,16
小姐姐,16
亲人,16
没用,16
过分,16
天性,16
成长,16
研究,16
农村,16
爱好,16
大学毕业,16
耳洞,16
标签,16
逻辑,16
我国,16
米饭,16
终于,15
姥姥,15
或许,15
眼泪,15
人能,15
居然,15
过程,15
很棒,15
是否,15
道理,15
手机,15
说出,15
再也,15
不让,15
珍惜,15
10,15
上面,15
否定,15
两年,15
灌输,15
好感,15
一段时间,15
强迫,15
作用,15
叫做,15
外人,15
40,15
涉及,15
亲友,15
婚姻法,15
LGBT,15
第一,14
道路,14
过得,14
平安,14
遭到,14
这条,14
眼睛,14
在我看来,14
同事,14
评价,14
控制,14
看得,14
孙子,14
马上,14
传宗接代,14
坚定,14
上学,14
生理,14
心理压力,14
习惯,14
不太能,14
左右,14
弹泥,14
方向,14
不说,14
搬出去,14
纠结,14
女友,14
做到,14
生命,14
安全感,14
放下,14
激动,14
忽然,14
害羞,14
只想,14
繁殖,14
放在,14
正在,14
聊聊,14
浪漫,14
当做,14
一场,13
学生,13
聪明,13
点个,13
坚信,13
终老,13
房子,13
回答,13
回去,13
点赞,13
出去,13
独身,13
进化,13
活着,13
这方面,13
敬佩,13
一瞬间,13
19,13
长长,13
尴尬,13
主义者,13
阻止,13
交往,13
qwq,13
难道,13
冲动,13
矛盾,13
说不定,13
剩下,13
偷偷,13
故意,13
没谈过,13
是从,13
去年,13
五年,13
打开,13
脑子,13
纯粹,13
不在意,13
男同性恋,13
具体,13
最终,13
21,13
只不过,13
光明正大,13
误导,13
坦诚,13
目光,13
过于,13
人性,13
不得不,13
长时间,13
要说,13
喜好,13
称为,13
规定,13
性向,13
符合,13
断子绝孙,13
素质,13
自然界,13
不知,13
家暴,13
进步,13
is,13
置顶,12
平静,12
差不多,12
往往,12
帮助,12
事实,12
没事,12
高二,12
大二,12
铺垫,12
大不了,12
顺利,12
闺女,12
前提,12
正大光明,12
恭喜,12
保证,12
帅哥,12
一巴掌,12
太多,12
没有勇气,12
半天,12
脾气,12
诉说,12
无意,12
99,12
卧槽,12
疑惑,12
对话,12
很快,12
二十年,12
动心,12
会想,12
反同,12
一大,12
几句,12
丧失,12
危险,12
利益,12
谨慎,12
人格,12
女同学,12
一篇,12
前途,12
外面,12
偶尔,12
从不,12
刺激,12
封面,12
达成,12
校园,12
欺凌,12
吸引,12
见到,12
25,12
最近,12
闭嘴,12
继续,12
偏同,12
烦恼,12
感触,12
欣慰,12
未成年,12
不幸,12
值得尊重,12
一位,12
确认,12
类型,12
忠诚,12
付出,12
一面,12
心思,12
基佬,12
下一代,12
北方,12
满足,12
透露,12
卖腐,12
世上,12
兄弟,12
三年,12
依旧会,12
单独,12
婚恋观,12
治疗,12
共度,12
男孩,12
对同,12
疾病,12
可耻,12
权益,12
Love,12
保障,12
幼稚,11
单纯,11
很酷,11
亲戚,11
理性,11
房间,11
意外,11
首页,11
心疼,11
小心翼翼,11
六年级,11
过好,11
网上,11
其他人,11
失败,11
类似,11
哥们,11
这位,11
异常,11
懂得,11
非要,11
携手,11
家门,11
好棒,11
第二天,11
上来,11
主说,11
一条,11
境地,11
台湾,11
概率,11
60,11
离世,11
灵魂,11
达到,11
依赖,11
温水,11
底气,11
善意,11
我长,11
进行,11
距离,11
照片,11
叛逆,11
强硬,11
发现自己,11
五年级,11
考试,11
女子,11
算不算,11
迷惑,11
网络,11
陷入,11
坚持下去,11
媒体,11
扩大,11
依靠,11
班有,11
嫁给,11
相反,11
潜意识,11
人物,11
视为,11
多点,11
没想到,11
维持,11
暴露,11
重男轻女,11
默默,11
青春期,11
给出,11
漫画,11
生怕,11
渴望,11
太棒了,11
老实,11
终究,11
说白了,11
我特,11
患者,11
完美,11
拿来,11
搞笑,11
一口,11
冲击,11
守护,11
风气,11
事实上,11
乱七八糟,11
安全,11
图片,11
眼中,11
经济基础,11
不论是,11
深刻,11
定位,11
嫌弃,11
具备,11
大胆,11
很想,11
上床,11
形象,11
压垮,11
辜负,11
单亲,11
不要脸,11
就别,11
争议,11
一步步,11
理论,11
